Index	X	Y	Z
894	8.03581	264.073	89.3325
895	124.07	84.6796	26.2475
896	50.9762	239.507	61.5083
897	36.0028	279.542	78.646
898	143.656	390.911	130.238
899	137.734	333.276	126.685
900	160.208	336.821	122.325
901	119.98	380.113	103.708
902	115.975	457.903	121.206
903	126.802	444.683	109.59
904	104.668	442.642	103.674
905	81.7789	496.078	110.099
906	82.3749	489.664	97.1299
907	135.171	483.958	119.707
908	144.09	461.268	113.661
909	150.187	409.122	105.388
910	101.608	380.111	121.405
911	175.592	24.1142	32.8266
912	200.406	76.4213	43.9816
913	190.135	31.2581	45.2781
914	189.296	58.0964	51.5532
